status,lane,package,vuln_class,cwe,file,line,ecosystem,dependency,version,cve,found_by_scanner,found_by_rule,reported_at
FOUND,SAST,dotnet-sqli,sql-injection,CWE-89,Program.cs,8,nuget,,,,semgrep,csharp_injection_rule-SQLInjection,Program.cs:9
FOUND,SAST,go-cmdi,command-injection,CWE-78,main.go,12,go,,,,semgrep,shell-injection,main.go:12
FOUND,SAST,java-cmdi-sqli,command-injection,CWE-78,src/main/java/com/example/App.java,9,maven,,,,semgrep,command-injection-runtime-processbuilder,src/main/java/com/example/App.java:9
FOUND,SAST,java-cmdi-sqli,sql-injection,CWE-89,src/main/java/com/example/App.java,16,maven,,,,semgrep,sql-injection,src/main/java/com/example/App.java:16
FOUND,SAST,java-rest-api,ssrf,CWE-918,src/main/java/com/example/FetchClient.java,24,maven,,,,semgrep,java_ssrf_rule-SSRF,src/main/java/com/example/FetchClient.java:24
FOUND,SAST,py-deserialization,insecure-deserialization,CWE-502,worker.py,8,pypi,,,,semgrep,python_deserialization_rule-pickle,worker.py:8
FOUND,SAST,py-medsev-bug,weak-hash,CWE-327,crypto_util.py,7,pypi,,,,bandit,hashlib,crypto_util.py:7
FOUND,SAST,py-noentry-lib,ssrf,CWE-918,fetcher.py,8,pypi,,,,bandit,blacklist,fetcher.py:8
FOUND,SAST,py-open-redirect,open-redirect,CWE-601,app.py,16,pypi,,,,semgrep,open-redirect,app.py:16
FOUND,SAST,py-rest-api,sql-injection,CWE-89,db.py,19,pypi,,,,bandit,hardcoded_sql_expressions,db.py:19
FOUND,SAST,py-rest-api,ssrf,CWE-918,fetch.py,13,pypi,,,,joern,Server-Side Request Forgery (SSRF),fetch.py:13
FOUND,SAST,py-webapp-cmdi,command-injection,CWE-78,app.py,14,pypi,,,,bandit,subprocess_popen_with_shell_equals_true,app.py:14
FOUND,SAST,py-xxe,xxe,CWE-611,parser.py,8,pypi,,,,semgrep,python_xml_rule-etree,parser.py:9
FOUND,SAST,ruby-cmdi,command-injection,CWE-78,app.rb,7,rubygems,,,,semgrep,command-injection-interpolation,app.rb:7
FOUND,SCA,py-sca-pypi-old,vulnerable-dependency,,,,pypi,pyyaml,5.3,CVE-2020-14343,dependency_check,,
FOUND,SECRET,py-secrets-basicauth,secret-basic-auth-url,CWE-798,config.py,4,pypi,,,,gitleaks,stripe-access-token,config.py:7
MISSED,SAST,java-deserialization,insecure-deserialization,CWE-502,src/main/java/com/example/Worker.java,10,maven,,,,,,
MISSED,SAST,java-rest-api,sql-injection,CWE-89,src/main/java/com/example/UserRepository.java,29,maven,,,,,,
MISSED,SAST,java-rest-api,broken-access-control,CWE-639,src/main/java/com/example/Controller.java,22,maven,,,,,,
MISSED,SAST,java-xxe,xxe,CWE-611,src/main/java/com/example/XmlParser.java,13,maven,,,,,,
MISSED,SAST,py-noentry-lib,path-traversal,CWE-22,fetcher.py,15,pypi,,,,,,
MISSED,SAST,py-rest-api,broken-access-control,CWE-639,app.py,31,pypi,,,,,,
MISSED,SAST,py-ssti,ssti,CWE-1336,app.py,13,pypi,,,,,,
MISSED,SAST,py-xss-triad,xss-reflected,CWE-79,app.py,113,pypi,,,,,,
MISSED,SCA,dotnet-sca-old,vulnerable-dependency,,,,nuget,Newtonsoft.Json,12.0.1,CVE-2024-21907,,,
MISSED,SCA,go-sca-old,vulnerable-dependency,,,,go,github.com/dgrijalva/jwt-go,v3.2.0+incompatible,CVE-2020-26160,,,
MISSED,SCA,java-sca-maven-old,vulnerable-dependency,,,,maven,log4j-core,2.14.1,CVE-2021-44228,,,
MISSED,SCA,java-sca-maven-old,vulnerable-dependency,,,,maven,jackson-databind,2.9.8,CVE-2019-12384,,,
MISSED,SCA,py-sca-pypi-old,vulnerable-dependency,,,,pypi,requests,2.5.0,CVE-2018-18074,,,
MISSED,SCA,py-sca-pypi-old,vulnerable-dependency,,,,pypi,jinja2,2.10,CVE-2019-10906,,,
MISSED,SCA,ruby-sca-old,vulnerable-dependency,,,,rubygems,rack,2.0.5,CVE-2019-16782,,,
MISSED,SCA,rust-sca-old,vulnerable-dependency,,,,cargo,time,0.1.43,RUSTSEC-2020-0071,,,
MISSED,SECRET,java-rest-api,hardcoded-secret,CWE-798,src/main/java/com/example/AppConfig.java,12,maven,,,,,,
MISSED,SECRET,py-rest-api,hardcoded-secret,CWE-798,config.py,5,pypi,,,,,,
MISSED,SECRET,py-secrets-basicauth,secret-api-key,CWE-798,config.py,7,pypi,,,,,,
